date,signup_conversion_pct,dau,retention_d7_pct,crash_rate_pct,api_p95_ms,support_tickets,payment_success_pct,feature_funnel_completion_pct,churn_rate_pct
2026-03-26,3.1,12000,42.0,0.08,180,45,99.2,68.0,0.9
2026-03-27,3.0,12150,41.8,0.09,178,46,99.1,69.0,0.9
2026-03-28,3.2,11980,42.2,0.08,182,44,99.3,70.0,0.8
2026-03-29,3.1,12200,42.5,0.09,179,46,99.2,71.0,0.9
2026-03-30,3.3,12350,42.8,0.10,181,48,99.0,72.0,1.0
2026-03-31,3.2,12400,43.0,0.09,183,47,98.9,73.0,1.0
2026-04-01,3.4,12550,43.2,0.09,184,49,99.0,74.0,1.1
2026-04-02,3.3,12680,43.5,0.09,185,50,99.1,75.0,1.0
2026-04-03,3.2,12720,43.1,0.09,186,51,99.2,74.0,1.0
2026-04-04,3.1,12800,42.9,0.09,187,52,99.2,72.0,1.0
2026-04-05,3.0,12850,42.5,0.09,188,52,99.3,68.0,1.1
2026-04-06,2.9,12900,41.8,0.09,188,53,99.2,63.0,1.1
2026-04-07,2.8,12920,41.2,0.09,189,53,99.3,58.0,1.1
2026-04-08,2.7,12950,40.5,0.09,189,54,99.2,54.0,1.1
